1	Aug 26, 2016	10:00 PM	Fri	California	51	N	Hawaii	31	ANZ Stadium - Sydney, AUS	2	Sep 1, 2016	7:00 PM	Thu	Central Michigan	49		Presbyterian	3	Kelly/Shorts Stadium - Mount Pleasant, Michigan	2	Sep 1, 2016	7:00 PM	Thu	Cincinnati	28		Tennessee-Martin	7	Nippert Stadium - Cincinnati, Ohio	2	Sep 1, 2016	7:00 PM	Thu	Connecticut	24		Maine	21	Rentschler Field - East Hartford, Connecticut	2	Sep 1, 2016	9:00 PM	Thu	Idaho	20		Montana State	17	Kibbie Dome - Moscow, Idaho	2	Sep 1, 2016	7:30 PM	Thu	Indiana	34	@	Florida International	13	FIU Stadium - Miami, Florida	2	Sep 1, 2016	7:00 PM	Thu	(19) Louisville	70		Charlotte	14	Papa John's Cardinal Stadium - Louisville, Kentucky	2	Sep 1, 2016	9:00 PM	Thu	Minnesota	30		Oregon State	23	TCF Bank Stadium - Minneapolis, Minnesota	2	Sep 1, 2016	10:00 PM	Thu	Nevada-Las Vegas	63		Jackson State	13	Sam Boyd Stadium - Las Vegas, Nevada	2	Sep 1, 2016	9:00 PM	Thu	New Mexico	48		South Dakota	21	University Stadium - Albuquerque, New Mexico
2	Sep 1, 2016	7:30 PM	Thu	North Carolina State	48		William & Mary	14	Carter Finley Stadium - Raleigh, North Carolina	2	Sep 1, 2016	8:00 PM	Thu	South Carolina	13	@	Vanderbilt	10	Vanderbilt Stadium - Nashville, Tennessee	2	Sep 1, 2016	7:30 PM	Thu	(9) Tennessee	20		Appalachian State	13	Neyland Stadium - Knoxville, Tennessee	2	Sep 1, 2016	8:00 PM	Thu	Utah	24		Southern Utah	0	Rice-Eccles Stadium - Salt Lake City, Utah	2	Sep 1, 2016	8:00 PM	Thu	Utah State	45		Weber State	6	Merlin Olsen Field at Maverik Stadium - Logan, Utah	2	Sep 1, 2016	7:00 PM	Thu	Wake Forest	7		Tulane	3	BB&T Field - Winston-Salem, North Carolina	2	Sep 1, 2016	8:00 PM	Thu	Western Kentucky	46		Rice	14	Houchens Industries-L.T. Smith Stadium - Bowling Green, Kentucky	2	Sep 2, 2016	7:00 PM	Fri	Albany	22	@	Buffalo	16	University of Buffalo Stadium - Buffalo, New York	2	Sep 2, 2016	7:00 PM	Fri	Army	28	@	Temple	13	Lincoln Financial Field - Philadelphia, Pennsylvania	2	Sep 2, 2016	7:00 PM	Fri	Ball State	31	@	Georgia State	21	Georgia Dome - Atlanta, Georgia
2	Sep 2, 2016	7:30 PM	Fri	(23) Baylor	55		Northwestern State	7	McLane Stadium - Waco, Texas	2	Sep 2, 2016	8:00 PM	Fri	Colorado	44	N	Colorado State	7	Sports Authority Field - Denver, Colorado	2	Sep 2, 2016	6:00 PM	Fri	Eastern Michigan	61		Mississippi Valley State	14	Rynearson Stadium - Ypsilanti, Michigan	2	Sep 2, 2016	7:00 PM	Fri	(12) Michigan State	28		Furman	13	Spartan Stadium - East Lansing, Michigan	2	Sep 2, 2016	9:30 PM	Fri	Nevada	30		Cal Poly	27	MacKay Stadium - Reno, Nevada	2	Sep 2, 2016	9:00 PM	Fri	(8) Stanford	26		Kansas State	13	Stanford Stadium - Stanford, California	2	Sep 2, 2016	7:00 PM	Fri	Syracuse	33		Colgate	7	Carrier Dome - Syracuse, New York	2	Sep 2, 2016	9:00 PM	Fri	Toledo	31	@	Arkansas State	10	Centennial Bank Stadium - Jonesboro, Arkansas	2	Sep 3, 2016	2:00 PM	Sat	Air Force	37		Abilene Christian	21	Falcon Stadium - Colorado Springs, Colorado	2	Sep 3, 2016	6:30 PM	Sat	Akron	47		Virginia Military Institute	24	InfoCision Stadium - Akron, Ohio
2	Sep 3, 2016	8:00 PM	Sat	(1) Alabama	52	N	(20) Southern California	6	AT&T Stadium - Arlington, Texas	2	Sep 3, 2016	11:00 PM	Sat	Arizona State	44		Northern Arizona	13	Sun Devil Stadium - Tempe, Arizona	2	Sep 3, 2016	4:00 PM	Sat	Arkansas	21		Louisiana Tech	20	Donald W. Reynolds Razorback Stadium - Fayetteville, Arkansas	2	Sep 3, 2016	12:00 PM	Sat	Boise State	45	@	Louisiana	10	Cajun Field - Lafayette, Louisiana	2	Sep 3, 2016	10:30 PM	Sat	Brigham Young	18	N	Arizona	16	University of Phoenix Stadium - Glendale, Arizona	2	Sep 3, 2016	7:00 PM	Sat	Central Florida	38		South Carolina State	0	Bright House Networks Stadium - Orlando, Florida	2	Sep 3, 2016	9:00 PM	Sat	(2) Clemson	19	@	Auburn	13	Jordan Hare Stadium - Auburn, Alabama	2	Sep 3, 2016	6:00 PM	Sat	Duke	49		North Carolina Central	6	Wallace Wade Stadium - Durham, North Carolina	2	Sep 3, 2016	6:00 PM	Sat	East Carolina	52		Western Carolina	7	Dowdy-Ficklen Stadium - Greenville, North Carolina	2	Sep 3, 2016	8:00 PM	Sat	Eastern Washington	45	@	Washington State	42	Martin Stadium - Pullman, Washington
2	Sep 3, 2016	7:30 PM	Sat	(25) Florida	24		Massachusetts	7	Ben Hill Griffin Stadium - Gainesville, Florida	2	Sep 3, 2016	6:00 PM	Sat	Florida Atlantic	38		Southern Illinois	30	FAU Football Stadium - Boca Raton, Florida	2	Sep 3, 2016	5:30 PM	Sat	(18) Georgia	33	N	(22) North Carolina	24	Georgia Dome - Atlanta, Georgia	2	Sep 3, 2016	6:00 PM	Sat	Georgia Southern	54		Savannah State	0	Allen E. Paulson Stadium - Statesboro, Georgia	2	Sep 3, 2016	7:30 AM	Sat	Georgia Tech	17	N	Boston College	14	Aviva Stadium - Dublin, IRL	2	Sep 3, 2016	12:00 PM	Sat	(15) Houston	33	N	(3) Oklahoma	23	NRG Stadium - Houston, Texas	2	Sep 3, 2016	3:30 PM	Sat	Illinois	52		Murray State	3	Memorial Stadium - Champaign, Illinois	2	Sep 3, 2016	3:30 PM	Sat	(17) Iowa	45		Miami (OH)	21	Kinnick Stadium - Iowa City, Iowa	2	Sep 3, 2016	7:00 PM	Sat	Kansas	55		Rhode Island	6	Memorial Stadium - Lawrence, Kansas	2	Sep 3, 2016	7:00 PM	Sat	Louisiana-Monroe	38		Southern	21	Malone Stadium - Monroe, Louisiana
2	Sep 3, 2016	12:00 PM	Sat	Maryland	52		Howard	13	Maryland Stadium - College Park, Maryland	2	Sep 3, 2016	7:00 PM	Sat	Memphis	35		Southeast Missouri State	17	Liberty Bowl Memorial Stadium - Memphis, Tennessee	2	Sep 3, 2016	6:00 PM	Sat	Miami (FL)	70		Florida A&M	3	Hard Rock Stadium - Miami Gardens, Florida	2	Sep 3, 2016	12:00 PM	Sat	(7) Michigan	63		Hawaii	3	Michigan Stadium - Ann Arbor, Michigan	2	Sep 3, 2016	7:00 PM	Sat	Middle Tennessee State	55		Alabama A&M	0	Johnny "Red" Floyd Stadium - Murfreesboro, Tennessee	2	Sep 3, 2016	12:00 PM	Sat	Navy	52		Fordham	16	Navy Marine Corps Memorial Stadium - Annapolis, Maryland	2	Sep 3, 2016	8:00 PM	Sat	Nebraska	43		Fresno State	10	Memorial Stadium - Lincoln, Nebraska	2	Sep 3, 2016	8:00 PM	Sat	Northern Iowa	25	@	Iowa State	20	Jack Trice Stadium - Ames, Iowa	2	Sep 3, 2016	12:00 PM	Sat	(6) Ohio State	77		Bowling Green	10	Ohio Stadium - Columbus, Ohio	2	Sep 3, 2016	3:30 PM	Sat	(21) Oklahoma State	61		Southeastern Louisiana	7	Boone Pickens Stadium - Stillwater, Oklahoma
2	Sep 3, 2016	5:00 PM	Sat	(24) Oregon	53		California-Davis	28	Autzen Stadium - Eugene, Oregon	2	Sep 3, 2016	3:30 PM	Sat	Penn State	33		Kent State	13	Beaver Stadium - University Park, Pennsylvania	2	Sep 3, 2016	1:30 PM	Sat	Pittsburgh	28		Villanova	7	Heinz Field - Pittsburgh, Pennsylvania	2	Sep 3, 2016	12:00 PM	Sat	Purdue	45		Eastern Kentucky	24	Ross Ade Stadium - West Lafayette, Indiana	2	Sep 3, 2016	3:30 PM	Sat	Richmond	37	@	Virginia	20	Scott Stadium - Charlottesville, Virginia	2	Sep 3, 2016	8:30 PM	Sat	San Diego State	31		New Hampshire	0	Qualcomm Stadium - San Diego, California	2	Sep 3, 2016	12:00 PM	Sat	South Alabama	21	@	Mississippi State	20	Davis Wade Stadium - Starkville, Mississippi	2	Sep 3, 2016	7:00 PM	Sat	South Florida	56		Towson	20	Raymond James Stadium - Tampa, Florida	2	Sep 3, 2016		Sat	Southern Methodist	34	@	North Texas	21	Apogee Stadium - Denton, Texas	2	Sep 3, 2016	7:30 PM	Sat	Southern Mississippi	44	@	Kentucky	35	Commonwealth Stadium - Lexington, Kentucky
2	Sep 3, 2016		Sat	Texas A&M	31		(16) UCLA	24	Kyle Field - College Station, Texas	2	Sep 3, 2016	8:00 PM	Sat	(13) Texas Christian	59		South Dakota State	41	Amon G. Carter Stadium - Fort Worth, Texas	2	Sep 3, 2016	3:30 PM	Sat	Texas State	56	@	Ohio	54	Peden Stadium - Athens, Ohio	2	Sep 3, 2016	8:00 PM	Sat	Texas Tech	69		Stephen F. Austin	17	Jones AT&T Stadium - Lubbock, Texas	2	Sep 3, 2016		Sat	Texas-El Paso	38		New Mexico State	22	Sun Bowl Stadium - El Paso, Texas	2	Sep 3, 2016	7:00 PM	Sat	Texas-San Antonio	26		Alabama State	13	Alamodome - San Antonio, Texas	2	Sep 3, 2016	6:00 PM	Sat	Troy	57		Austin Peay	17	Veterans Memorial Stadium - Troy, Alabama	2	Sep 3, 2016	7:00 PM	Sat	Tulsa	45		San Jose State	10	Chapman Stadium - Tulsa, Oklahoma	2	Sep 3, 2016	12:30 PM	Sat	Virginia Tech	36		Liberty	13	Lane Stadium - Blacksburg, Virginia	2	Sep 3, 2016	2:00 PM	Sat	(14) Washington	48		Rutgers	13	Husky Stadium - Seattle, Washington
2	Sep 3, 2016	12:00 PM	Sat	West Virginia	26		Missouri	11	Milan Puskar Stadium - Morgantown, West Virginia	2	Sep 3, 2016	12:00 PM	Sat	Western Michigan	22	@	Northwestern	21	Ryan Field - Evanston, Illinois	2	Sep 3, 2016	3:30 PM	Sat	Wisconsin	16	N	(5) Louisiana State	14	Lambeau Field - Green Bay, Wisconsin	2	Sep 3, 2016	10:30 PM	Sat	Wyoming	40		Northern Illinois	34	War Memorial Stadium - Laramie, Wyoming	2	Sep 4, 2016	3:30 PM	Sun	Old Dominion	54		Hampton	21	S.B. Ballard Stadium - Norfolk, Virginia	2	Sep 4, 2016	7:30 PM	Sun	Texas	50		(10) Notre Dame	47	Darrell K Royal-Texas Memorial Stadium - Austin, Texas	2	Sep 5, 2016	8:00 PM	Mon	(4) Florida State	45	N	(11) Mississippi	34	Camping World Stadium - Orlando, Florida	3	Sep 9, 2016	8:00 PM	Fri	(13) Louisville	62	@	Syracuse	28	Carrier Dome - Syracuse, New York	3	Sep 9, 2016	7:30 PM	Fri	Maryland	41	@	Florida International	14	FIU Stadium - Miami, Florida	3	Sep 10, 2016	2:00 PM	Sat	Air Force	48		Georgia State	14	Falcon Stadium - Colorado Springs, Colorado
3	Sep 10, 2016	3:30 PM	Sat	(1) Alabama	38		Western Kentucky	10	Bryant-Denny Stadium - Tuscaloosa, Alabama	3	Sep 10, 2016	3:30 PM	Sat	Appalachian State	31		Old Dominion	7	Kidd Brewer Stadium - Boone, North Carolina	3	Sep 10, 2016	10:45 PM	Sat	Arizona	31		Grambling State	21	Arizona Stadium - Tucson, Arizona	3	Sep 10, 2016	10:00 PM	Sat	Arizona State	68		Texas Tech	55	Sun Devil Stadium - Tempe, Arizona	3	Sep 10, 2016	7:00 PM	Sat	Arkansas	41	@	(15) Texas Christian	38	Amon G. Carter Stadium - Fort Worth, Texas	3	Sep 10, 2016	12:00 PM	Sat	Army	31		Rice	14	Michie Stadium - West Point, New York	3	Sep 10, 2016	7:30 PM	Sat	Auburn	51		Arkansas State	14	Jordan Hare Stadium - Auburn, Alabama	3	Sep 10, 2016	3:30 PM	Sat	(23) Baylor	40		Southern Methodist	13	McLane Stadium - Waco, Texas	3	Sep 10, 2016	10:15 PM	Sat	Boise State	31		Washington State	28	Albertsons Stadium - Boise, Idaho	3	Sep 10, 2016	12:00 PM	Sat	Boston College	26	@	Massachusetts	7	Gillette Stadium - Foxborough, Massachusetts
3	Sep 10, 2016	3:30 PM	Sat	Bowling Green	27		North Dakota	26	Doyt L. Perry Stadium - Bowling Green, Ohio	3	Sep 10, 2016	12:00 PM	Sat	Central Michigan	30	@	(22) Oklahoma State	27	Boone Pickens Stadium - Stillwater, Oklahoma	3	Sep 10, 2016	6:00 PM	Sat	Charlotte	47		Elon	14	Jerry Richardson Stadium - Charlotte, North Carolina	3	Sep 10, 2016	12:00 PM	Sat	Cincinnati	38	@	Purdue	20	Ross Ade Stadium - West Lafayette, Indiana	3	Sep 10, 2016	12:30 PM	Sat	(2) Clemson	30		Troy	24	Clemson Memorial Stadium - Clemson, South Carolina	3	Sep 10, 2016	5:30 PM	Sat	Colorado	56		Idaho State	7	Folsom Field - Boulder, Colorado	3	Sep 10, 2016	4:00 PM	Sat	Colorado State	23		Texas-San Antonio	14	Sonny Lubick Field at Hughes Stadium - Fort Collins, Colorado	3	Sep 10, 2016	12:00 PM	Sat	East Carolina	33		North Carolina State	30	Dowdy-Ficklen Stadium - Greenville, North Carolina	3	Sep 10, 2016	3:30 PM	Sat	Eastern Illinois	21	@	Miami (OH)	17	Fred Yager Stadium - Oxford, Ohio	3	Sep 10, 2016	3:30 PM	Sat	Florida	45		Kentucky	7	Ben Hill Griffin Stadium - Gainesville, Florida
3	Sep 10, 2016	12:30 PM	Sat	(3) Florida State	52		Charleston Southern	8	Doak Campbell Stadium - Tallahassee, Florida	3	Sep 10, 2016	10:00 PM	Sat	Fresno State	31		Sacramento State	3	Bulldog Stadium - Fresno, California	3	Sep 10, 2016	12:00 PM	Sat	(9) Georgia	26		Nicholls State	24	Sanford Stadium - Athens, Georgia	3	Sep 10, 2016	7:00 PM	Sat	Georgia Southern	24	@	South Alabama	9	Ladd-Peebles Stadium - Mobile, Alabama	3	Sep 10, 2016	3:00 PM	Sat	Georgia Tech	35		Mercer	10	Bobby Dodd Stadium - Atlanta, Georgia	3	Sep 10, 2016	11:59 PM	Sat	Hawaii	41		Tennessee-Martin	36	Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu, Hawaii	3	Sep 10, 2016	12:00 PM	Sat	(6) Houston	42		Lamar	0	TDECU Stadium - Houston, Texas	3	Sep 10, 2016	3:30 PM	Sat	Illinois State	9	@	Northwestern	7	Ryan Field - Evanston, Illinois	3	Sep 10, 2016	4:00 PM	Sat	Indiana	30		Ball State	20	Memorial Stadium - Bloomington, Indiana	3	Sep 10, 2016	7:30 PM	Sat	(16) Iowa	42		Iowa State	3	Kinnick Stadium - Iowa City, Iowa
3	Sep 10, 2016	7:00 PM	Sat	Louisiana	30		McNeese State	22	Cajun Field - Lafayette, Louisiana	3	Sep 10, 2016	7:30 PM	Sat	(21) Louisiana State	34		Jacksonville State	13	Tiger Stadium - Baton Rouge, Louisiana	3	Sep 10, 2016	7:00 PM	Sat	Louisiana Tech	53		South Carolina State	24	Joe Aillet Stadium - Ruston, Louisiana	3	Sep 10, 2016	6:00 PM	Sat	Marshall	62		Morgan State	0	Joan C. Edwards Stadium - Huntington, West Virginia	3	Sep 10, 2016	6:00 PM	Sat	(25) Miami (FL)	38		Florida Atlantic	10	Hard Rock Stadium - Miami Gardens, Florida	3	Sep 10, 2016	12:00 PM	Sat	(5) Michigan	51		Central Florida	14	Michigan Stadium - Ann Arbor, Michigan	3	Sep 10, 2016	12:00 PM	Sat	Minnesota	58		Indiana State	28	TCF Bank Stadium - Minneapolis, Minnesota	3	Sep 10, 2016	4:00 PM	Sat	(19) Mississippi	38		Wofford	13	Vaught-Hemingway Stadium - Oxford, Mississippi	3	Sep 10, 2016	7:00 PM	Sat	Mississippi State	27		South Carolina	14	Davis Wade Stadium - Starkville, Mississippi	3	Sep 10, 2016	7:30 PM	Sat	Missouri	61		Eastern Michigan	21	Faurot Field - Columbia, Missouri
3	Sep 10, 2016	3:30 PM	Sat	Navy	28		Connecticut	24	Navy Marine Corps Memorial Stadium - Annapolis, Maryland	3	Sep 10, 2016	12:00 PM	Sat	Nebraska	52		Wyoming	17	Memorial Stadium - Lincoln, Nebraska	3	Sep 10, 2016	8:00 PM	Sat	New Mexico State	32		New Mexico	31	Aggie Memorial Stadium - Las Cruces, New Mexico	3	Sep 10, 2016	7:30 PM	Sat	North Carolina	48	@	Illinois	23	Memorial Stadium - Champaign, Illinois	3	Sep 10, 2016	6:00 PM	Sat	North Carolina A&T	39	@	Kent State	36	Dix Stadium - Kent, Ohio	3	Sep 10, 2016	7:00 PM	Sat	North Texas	41		Bethune-Cookman	20	Apogee Stadium - Denton, Texas	3	Sep 10, 2016	3:30 PM	Sat	(18) Notre Dame	39		Nevada	10	Notre Dame Stadium - South Bend, Indiana	3	Sep 10, 2016	2:30 PM	Sat	Ohio	37	@	Kansas	21	Memorial Stadium - Lawrence, Kansas	3	Sep 10, 2016	3:30 PM	Sat	(4) Ohio State	48		Tulsa	3	Ohio Stadium - Columbus, Ohio	3	Sep 10, 2016	7:00 PM	Sat	(14) Oklahoma	59		Louisiana-Monroe	17	Gaylord Family - Oklahoma Memorial Stadium - Norman, Oklahoma
3	Sep 10, 2016	10:30 PM	Sat	(24) Oregon	44		Virginia	26	Autzen Stadium - Eugene, Oregon	3	Sep 10, 2016	12:00 PM	Sat	Pittsburgh	42		Penn State	39	Heinz Field - Pittsburgh, Pennsylvania	3	Sep 10, 2016	12:00 PM	Sat	Rutgers	52		Howard	14	High Points Solutions Stadium - Piscataway, New Jersey	3	Sep 10, 2016	10:30 PM	Sat	San Diego State	45		California	40	Qualcomm Stadium - San Diego, California	3	Sep 10, 2016	4:30 PM	Sat	San Jose State	66		Portland State	35	CEFCU Stadium - San Jose, California	3	Sep 10, 2016	7:00 PM	Sat	South Florida	48		Northern Illinois	17	Raymond James Stadium - Tampa, Florida	3	Sep 10, 2016	2:00 PM	Sat	Southern California	45		Utah State	7	Los Angeles Memorial Coliseum - Los Angeles, California	3	Sep 10, 2016	7:00 PM	Sat	Southern Mississippi	56		Savannah State	0	M.M. Roberts Stadium - Hattiesburg, Mississippi	3	Sep 10, 2016	1:00 PM	Sat	Temple	38		Stony Brook	0	Lincoln Financial Field - Philadelphia, Pennsylvania	3	Sep 10, 2016	8:00 PM	Sat	(17) Tennessee	45	N	Virginia Tech	24	Bristol Motor Speedway - Bristol, Tennessee
3	Sep 10, 2016	7:00 PM	Sat	(11) Texas	41		Texas-El Paso	7	Darrell K Royal-Texas Memorial Stadium - Austin, Texas	3	Sep 10, 2016	12:00 PM	Sat	(20) Texas A&M	67		Prairie View A&M	0	Kyle Field - College Station, Texas	3	Sep 10, 2016	7:00 PM	Sat	Toledo	45		Maine	3	Glass Bowl - Toledo, Ohio	3	Sep 10, 2016	8:00 PM	Sat	Tulane	66		Southern	21	Yulman Stadium - New Orleans, Louisiana	3	Sep 10, 2016	8:00 PM	Sat	UCLA	42		Nevada-Las Vegas	21	Rose Bowl - Pasadena, California	3	Sep 10, 2016	7:30 PM	Sat	Utah	20		Brigham Young	19	Rice-Eccles Stadium - Salt Lake City, Utah	3	Sep 10, 2016	4:00 PM	Sat	Vanderbilt	47		Middle Tennessee State	24	Vanderbilt Stadium - Nashville, Tennessee	3	Sep 10, 2016	3:30 PM	Sat	Wake Forest	24	@	Duke	14	Wallace Wade Stadium - Durham, North Carolina	3	Sep 10, 2016	5:00 PM	Sat	(8) Washington	59		Idaho	14	Husky Stadium - Seattle, Washington	3	Sep 10, 2016	2:00 PM	Sat	West Virginia	38		Youngstown State	21	Milan Puskar Stadium - Morgantown, West Virginia
3	Sep 10, 2016	7:00 PM	Sat	Western Michigan	70		North Carolina Central	21	Waldo Stadium - Kalamazoo, Michigan	3	Sep 10, 2016	3:30 PM	Sat	(10) Wisconsin	54		Akron	10	Camp Randall Stadium - Madison, Wisconsin	4	Sep 15, 2016	7:30 PM	Thu	(6) Houston	40	@	Cincinnati	16	Nippert Stadium - Cincinnati, Ohio	4	Sep 16, 2016	9:30 PM	Fri	Arizona State	32	@	Texas-San Antonio	28	Alamodome - San Antonio, Texas	4	Sep 16, 2016	8:00 PM	Fri	(21) Baylor	38	@	Rice	10	Rice Stadium - Houston, Texas	4	Sep 16, 2016	9:00 PM	Fri	Utah State	34		Arkansas State	20	Merlin Olsen Field at Maverik Stadium - Logan, Utah	4	Sep 17, 2016	12:00 PM	Sat	Akron	65	@	Marshall	38	Joan C. Edwards Stadium - Huntington, West Virginia	4	Sep 17, 2016	3:30 PM	Sat	(1) Alabama	48	@	(19) Mississippi	43	Vaught-Hemingway Stadium - Oxford, Mississippi	4	Sep 17, 2016	10:45 PM	Sat	Arizona	47		Hawaii	28	Arizona Stadium - Tucson, Arizona	4	Sep 17, 2016	7:30 PM	Sat	(24) Arkansas	42		Texas State	3	Donald W. Reynolds Razorback Stadium - Fayetteville, Arkansas
